"filename", "language", "C++", "comment", "blank", "total"
"d:\Development\C++\SFML_GUI3\src\Chess\Board\Board.cpp", "C++", 255, 16, 150, 421
"d:\Development\C++\SFML_GUI3\src\Chess\Board\Board.hpp", "C++", 31, 1, 6, 38
"d:\Development\C++\SFML_GUI3\src\Chess\Board\GridofTiles.hpp", "C++", 31, 0, 8, 39
"d:\Development\C++\SFML_GUI3\src\Chess\Board\Tile.hpp", "C++", 11, 0, 2, 13
"d:\Development\C++\SFML_GUI3\src\Chess\Move\Move.cpp", "C++", 9, 0, 2, 11
"d:\Development\C++\SFML_GUI3\src\Chess\Move\Move.hpp", "C++", 13, 1, 5, 19
"d:\Development\C++\SFML_GUI3\src\Chess\Piece\Behaviour.hpp", "C++", 27, 2, 14, 43
"d:\Development\C++\SFML_GUI3\src\Chess\Piece\Information.hpp", "C++", 9, 0, 1, 10
"d:\Development\C++\SFML_GUI3\src\Chess\Piece\Pieces.cpp", "C++", 7, 0, 2, 9
"d:\Development\C++\SFML_GUI3\src\Chess\Piece\Pieces.hpp", "C++", 18, 4, 7, 29
"d:\Development\C++\SFML_GUI3\src\Game\App.cpp", "C++", 82, 14, 27, 123
"d:\Development\C++\SFML_GUI3\src\Game\App.hpp", "C++", 21, 1, 5, 27
"d:\Development\C++\SFML_GUI3\src\Game\MessageQueues.cpp", "C++", 1, 0, 0, 1
"d:\Development\C++\SFML_GUI3\src\Game\MessageQueues.hpp", "C++", 1, 0, 2, 3
"d:\Development\C++\SFML_GUI3\src\General\Constants.hpp", "C++", 21, 0, 6, 27
"d:\Development\C++\SFML_GUI3\src\General\Utilities.cpp", "C++", 4, 0, 1, 5
"d:\Development\C++\SFML_GUI3\src\General\Utilities.hpp", "C++", 13, 0, 12, 25
"d:\Development\C++\SFML_GUI3\src\General\Utilities.tpp", "C++", 5, 0, 1, 6
"d:\Development\C++\SFML_GUI3\src\Resources\EventList.cpp", "C++", 29, 3, 4, 36
"d:\Development\C++\SFML_GUI3\src\Resources\EventList.hpp", "C++", 21, 4, 7, 32
"d:\Development\C++\SFML_GUI3\src\Resources\ResourcePackage.hpp", "C++", 18, 0, 3, 21
"d:\Development\C++\SFML_GUI3\src\Resources\ScreenConductor.cpp", "C++", 41, 0, 8, 49
"d:\Development\C++\SFML_GUI3\src\Resources\ScreenConductor.hpp", "C++", 18, 0, 4, 22
"d:\Development\C++\SFML_GUI3\src\Resources\Settings.hpp", "C++", 10, 0, 2, 12
"d:\Development\C++\SFML_GUI3\src\Resources\SoundPlayer.cpp", "C++", 36, 6, 14, 56
"d:\Development\C++\SFML_GUI3\src\Resources\SoundPlayer.hpp", "C++", 21, 0, 6, 27
"d:\Development\C++\SFML_GUI3\src\Resources\SpriteManager.cpp", "C++", 30, 0, 7, 37
"d:\Development\C++\SFML_GUI3\src\Resources\SpriteManager.hpp", "C++", 15, 0, 4, 19
"d:\Development\C++\SFML_GUI3\src\UI\CustomElement\Label.hpp", "C++", 4, 0, 3, 7
"d:\Development\C++\SFML_GUI3\src\UI\CustomElement\ScrollablePage\PageComponent.hpp", "C++", 5, 0, 2, 7
"d:\Development\C++\SFML_GUI3\src\UI\CustomElement\ScrollablePage\ScrollingPageElement.cpp", "C++", 46, 2, 18, 66
